WmoNumber,rain,temp,time
48413,0,24.8,30/10/2019
48403,0,24,30/10/2019
48402,0,25,30/10/2019
48404,0,20,30/10/2019
48405,0,20.5,30/10/2019
48390,0,20.8,30/10/2019
48382,0,21,30/10/2019
48401,0,25.5,30/10/2019
48400,0.8,25.1,30/10/2019
48419,0,26.5,30/10/2019
48415,0,25.7,30/10/2019
48464,4.2,25.2,30/10/2019
48458,0,23.5,30/10/2019
48407,0,21.6,30/10/2019
48408,0,21.5,30/10/2019
48410,0.4,25.4,30/10/2019
48409,0,22,30/10/2019
48420,0,27,30/10/2019
48457,0,28.5,30/10/2019
48430,0,26.9,30/10/2019
48429,0,27,30/10/2019
48427,0,26,30/10/2019
48425,0,26.5,30/10/2019
48418,0,23.5,30/10/2019
48426,0,26.5,30/10/2019
48327,15.5,22.1,30/10/2019
48302,0,16.9,30/10/2019
48324,5.6,24.5,30/10/2019
48328,1.8,24.5,30/10/2019
48303,0,22.4,30/10/2019
48325,9,21.8,30/10/2019
48310,12.7,23,30/10/2019
48304,1.4,22,30/10/2019
48315,0.2,22.3,30/10/2019
48333,0.5,22.4,30/10/2019
48352,0,22.3,30/10/2019
48307,0,21,30/10/2019
48329,2,22.5,30/10/2019
48334,0,23,30/10/2019
48331,0,23.3,30/10/2019
48330,0.01,24.4,30/10/2019
48357,0,20.2,30/10/2019
48355,0,18.2,30/10/2019
48360,0,23.4,30/10/2019
48358,0,23.5,30/10/2019
48350,0,23,30/10/2019
48353,0,24,30/10/2019
48356,0,20,30/10/2019
48354,0,21.2,30/10/2019
48387,0,20.9,30/10/2019
48377,0,24.5,30/10/2019
48378,5,25.8,30/10/2019
48385,0,21,30/10/2019
48373,20.8,24.5,30/10/2019
48372,13,24.6,30/10/2019
48375,0,23.9,30/10/2019
48376,0,25,30/10/2019
48550,0,26.3,30/10/2019
48551,0,23.7,30/10/2019
48556,2.6,22.9,30/10/2019
48555,1.5,23.6,30/10/2019
48517,0,25.1,30/10/2019
48501,0,25.6,30/10/2019
48532,0,23.9,30/10/2019
48520,0.2,24.6,30/10/2019
48564,0.4,26,30/10/2019
48561,4.2,23.6,30/10/2019
48566,0.4,25,30/10/2019
48565,9.5,24.9,30/10/2019
48554,0.7,24.6,30/10/2019
48552,0.5,24.1,30/10/2019
48560,11.2,24.5,30/10/2019
48557,0,23.8,30/10/2019
48569,32.2,24.3,30/10/2019
48568,2.9,25.4,30/10/2019
48580,2.1,24.1,30/10/2019
48570,1.2,24.4,30/10/2019
48567,3,24.2,30/10/2019
48563,5,23.3,30/10/2019
48574,6.9,24,30/10/2019
48571,4.6,24.3,30/10/2019
48583,0,24,30/10/2019
48581,13.5,23.6,30/10/2019
48433,0,20.3,30/10/2019
48432,0,20.8,30/10/2019
48437,0,20.9,30/10/2019
48416,0,25.9,30/10/2019
48431,0,22.6,30/10/2019
48439,0,24,30/10/2019
48434,0,21.5,30/10/2019
48435,0,23,30/10/2019
48421,0,24,30/10/2019
48450,0,26.2,30/10/2019
48455,0.6,26.5,30/10/2019
48451,0,25.6,30/10/2019
48438,5.1,25.6,30/10/2019
48436,0,21.5,30/10/2019
